"","data","valor","IPCA","IPCA acumulado","real"
"1",2021-11-01,297.66,0.95,1.19228,298.8641120916
"2",2021-12-01,320.9,0.73,1.142993,322.904103934
"3",2022-01-01,338.46,0.54,0.95,341.2168446996
"4",2022-02-01,340.29,1.01,1.545353,341.4623875254
"5",2022-03-01,344.71,1.62,2.473608,343.7948845746
"6",2022-04-01,335.06,1.06,1.77752600000001,336.0468388156
"7",2022-05-01,323.1,0.47,1.082867,325.957903506
"8",2022-06-01,317.96,0.67,0.901540999999995,320.1365188696
"9",2022-07-01,324.41,-0.68,-0.759456000000003,331.0102057966
"10",2022-08-01,313.39,-0.36,-0.24043199999999,318.7631530314
"11",2022-09-01,303.35,-0.29,-0.0606670000000031,308.338669621
"12",2022-10-01,303.35,0.59,0.851533999999998,305.669189621
"13",2022-11-01,283.35,0.41,1.363895,286.026314421
"14",2022-12-01,292.1,0.62,1.35452600000001,294.245550446
"15",2023-01-01,285.972727272727,0.53,1.07286200000001,288.330646762
"16",2023-02-01,289.719444444444,0.84,1.85848399999999,291.210126313167
"17",2023-03-01,281.797826086957,0.71,2.34150200000001,283.614086343522
"18",2023-04-01,285.805555555556,0.61,1.676466,287.933452226111
"19",2023-05-01,263.831818181818,0.23,0.701080999999992,266.798675573546
"20",2023-06-01,248.795238095238,-0.08,0.589463999999995,252.364270472476
"21",2023-07-01,248.795238095238,0.12,-0.560815999999997,251.866679996286
"22",2023-08-01,220.360869565217,0.23,-0.130828000000005,222.838884837304
"23",2023-09-01,212.515,0.26,-0.0307540000000106,214.8410319289
"24",2023-10-01,237.835714285714,0.24,0.831416000000007,240.486455158714
